time,temperature,arus,battery
2018-10-01 05:20,64.14,42.50,61
2018-10-01 05:25,62.20,44.95,65
2018-10-01 05:30,63.69,44.60,73
2018-10-01 05:35,61.91,41.90,70
2018-10-01 05:40,60.52,42.45,74
2018-10-01 05:45,60.81,43.97,52
2018-10-01 05:50,63.99,41.13,71
2018-10-01 05:55,64.45,42.10,76
2018-10-01 06:00,60.12,43.86,53
2018-10-01 06:05,63.40,40.19,79
2018-10-01 06:10,64.73,42.92,54
2018-10-01 06:15,62.89,44.09,52
2018-10-01 06:20,60.13,43.70,70
2018-10-01 06:25,60.58,43.16,58
2018-10-01 06:30,64.76,40.38,55
2018-10-01 06:35,60.64,42.94,65
2018-10-01 06:40,60.59,41.11,50
2018-10-01 06:45,62.90,42.20,68
2018-10-01 06:50,64.62,44.53,54
2018-10-01 06:55,63.62,40.82,50
2018-10-01 07:00,62.14,43.95,58
2018-10-01 07:05,64.34,44.93,67
2018-10-01 07:10,64.40,44.32,76
2018-10-01 07:15,64.11,40.61,61
2018-10-01 07:20,62.82,41.33,66
2018-10-01 07:25,60.20,44.74,72
2018-10-01 07:30,63.44,43.06,74
2018-10-01 07:35,62.56,43.42,67
2018-10-01 07:40,63.04,44.59,56
2018-10-01 07:45,63.47,40.50,68
2018-10-01 07:50,61.56,42.68,51
2018-10-01 07:55,62.37,42.60,54
2018-10-01 08:00,62.04,43.27,55
2018-10-01 08:05,62.69,44.23,55
2018-10-01 08:10,63.74,44.69,61
2018-10-01 08:15,62.80,41.83,76
2018-10-01 08:20,64.44,42.49,73
2018-10-01 08:25,61.44,40.66,55
2018-10-01 08:30,60.88,42.52,80
2018-10-01 08:35,62.26,40.70,79
2018-10-01 08:40,60.58,43.33,59
2018-10-01 08:45,64.08,40.14,65
2018-10-01 08:50,62.88,44.43,76
2018-10-01 08:55,63.01,42.59,75
2018-10-01 09:00,61.65,41.17,73
2018-10-01 09:05,64.50,40.68,78
2018-10-01 09:10,64.55,43.81,65
2018-10-01 09:15,62.75,40.59,60
2018-10-01 09:20,61.52,41.03,58
2018-10-01 09:25,60.01,43.38,51
2018-10-01 09:30,64.31,41.91,71
2018-10-01 09:35,64.28,44.38,71
2018-10-01 09:40,63.85,44.34,67
2018-10-01 09:45,63.66,40.85,70
2018-10-01 09:50,61.58,41.91,68
2018-10-01 09:55,60.47,44.82,78
2018-10-01 10:00,61.86,40.53,75
2018-10-01 10:05,60.70,40.81,67
2018-10-01 10:10,61.54,40.18,69
2018-10-01 10:15,61.04,43.61,67
2018-10-01 10:20,61.50,41.72,62
2018-10-01 10:25,61.17,40.38,69
2018-10-01 10:30,60.70,40.68,56
2018-10-01 10:35,64.61,44.16,54
2018-10-01 10:40,64.56,40.09,61
2018-10-01 10:45,61.28,42.54,73
2018-10-01 10:50,63.63,41.70,61
2018-10-01 10:55,61.01,42.01,57
2018-10-01 11:00,60.46,40.68,76
2018-10-01 11:05,61.40,41.98,53
2018-10-01 11:10,60.78,43.77,56
2018-10-01 11:15,60.44,43.74,70
2018-10-01 11:20,61.57,41.50,58
2018-10-01 11:25,60.94,41.59,50
2018-10-01 11:30,60.77,44.89,72
2018-10-01 11:35,61.51,44.70,62
2018-10-01 11:40,62.58,42.97,58
2018-10-01 11:45,63.42,44.15,69
2018-10-01 11:50,60.11,44.87,53
2018-10-01 11:55,63.84,41.85,51
2018-10-01 12:00,61.98,44.52,59
2018-10-01 12:05,63.41,40.72,72
2018-10-01 12:10,62.12,42.26,75
2018-10-01 12:15,63.53,42.78,80
2018-10-01 12:20,64.12,44.80,75
2018-10-01 12:25,64.22,44.06,72
2018-10-01 12:30,62.05,44.54,60
2018-10-01 12:35,63.07,40.28,63
2018-10-01 12:40,61.97,42.15,53
2018-10-01 12:45,63.47,41.18,50
2018-10-01 12:50,64.65,44.84,68
2018-10-01 12:55,61.14,42.02,68
2018-10-01 13:00,60.11,40.10,71
2018-10-01 13:05,61.37,40.96,59
2018-10-01 13:10,60.89,43.79,63
2018-10-01 13:15,60.82,43.24,76
2018-10-01 13:20,60.61,42.98,57
2018-10-01 13:25,63.88,43.70,76
2018-10-01 13:30,64.70,43.93,58
2018-10-01 13:35,64.56,40.97,77
2018-10-01 13:40,61.08,44.72,67
2018-10-01 13:45,64.81,44.80,66
2018-10-01 13:50,61.80,44.27,56
2018-10-01 13:55,63.39,41.15,60
2018-10-01 14:00,61.72,44.79,54
2018-10-01 14:05,63.25,41.28,69
2018-10-01 14:10,62.31,41.69,54
2018-10-01 14:15,63.73,40.29,50
2018-10-01 14:20,64.94,43.38,52
2018-10-01 14:25,61.26,44.69,71
2018-10-01 14:30,60.88,41.86,50
2018-10-01 14:35,62.79,40.45,62
2018-10-01 14:40,63.46,42.27,67
2018-10-01 14:45,63.77,42.34,50
2018-10-01 14:50,60.99,42.25,71
2018-10-01 14:55,61.99,43.04,50
2018-10-01 15:00,62.84,43.29,59
2018-10-01 15:05,63.38,42.23,60
2018-10-01 15:10,61.21,41.30,79
2018-10-01 15:15,64.89,41.68,53
2018-10-01 15:20,60.55,41.01,78
2018-10-01 15:25,64.32,40.10,65
2018-10-01 15:30,60.42,43.14,64
2018-10-01 15:35,63.96,42.58,58
2018-10-01 15:40,64.52,42.78,77
2018-10-01 15:45,61.92,43.04,52
2018-10-01 15:50,60.79,41.03,75
2018-10-01 15:55,63.89,42.07,62
2018-10-01 16:00,62.94,40.94,70
2018-10-01 16:05,64.95,40.96,78
2018-10-01 16:10,60.49,44.92,79
2018-10-01 16:15,64.67,40.84,79
2018-10-01 16:20,62.43,40.89,62
2018-10-01 16:25,60.28,41.69,73
2018-10-01 16:30,61.26,44.24,55
2018-10-01 16:35,60.77,44.20,68
2018-10-01 16:40,61.99,42.86,66
2018-10-01 16:45,60.84,44.57,68
2018-10-01 16:50,63.37,44.00,65
2018-10-01 16:55,63.46,42.89,63
2018-10-01 17:00,64.28,44.61,66
2018-10-01 17:05,64.24,40.09,60
2018-10-01 17:10,64.54,41.28,64
2018-10-01 17:15,61.66,43.72,55
2018-10-01 17:20,63.85,44.84,66
2018-10-01 17:25,62.89,44.13,56
2018-10-01 17:30,62.82,43.34,62
2018-10-01 17:35,64.11,41.00,63
2018-10-01 17:40,62.06,41.97,73
2018-10-01 17:45,61.32,44.73,80
2018-10-01 17:50,61.61,42.91,70
2018-10-01 17:55,61.96,42.33,58
2018-10-01 18:00,61.05,42.30,65
2018-10-01 18:05,63.85,41.68,59
2018-10-01 18:10,64.04,41.12,55
2018-10-01 18:15,60.19,40.53,76
2018-10-01 18:20,62.05,41.43,63
2018-10-01 18:25,61.81,40.87,58
2018-10-01 18:30,60.46,40.54,55
2018-10-01 18:35,60.37,43.84,72
2018-10-01 18:40,61.02,42.34,80
2018-10-01 18:45,61.78,40.28,76
2018-10-01 18:50,62.35,44.10,50
2018-10-01 18:55,60.67,44.68,67
2018-10-01 19:00,63.57,44.30,50
2018-10-01 19:05,60.46,43.14,75
2018-10-01 19:10,63.98,40.04,70
2018-10-01 19:15,62.12,43.21,76
2018-10-01 19:20,64.82,42.76,56
2018-10-01 19:25,62.94,40.72,77
2018-10-01 19:30,63.60,40.11,73
2018-10-01 19:35,63.73,42.47,75
2018-10-01 19:40,62.82,44.32,71
2018-10-01 19:45,63.50,40.59,50
2018-10-01 19:50,63.58,44.52,74
2018-10-01 19:55,62.32,42.81,69
2018-10-01 20:00,61.19,44.18,56
2018-10-01 20:05,60.99,40.46,59
2018-10-01 20:10,63.24,43.35,56
2018-10-01 20:15,60.92,43.45,55
2018-10-01 20:20,62.54,41.66,65
2018-10-01 20:25,62.32,44.19,73
2018-10-01 20:30,63.69,40.95,62
2018-10-01 20:35,63.89,44.60,78
2018-10-01 20:40,64.15,42.32,50
2018-10-01 20:45,61.97,42.09,62
2018-10-01 20:50,60.73,41.13,63
2018-10-01 20:55,63.86,40.35,79
2018-10-01 21:00,64.72,43.82,80
2018-10-01 21:05,63.22,40.86,70
2018-10-01 21:10,61.12,41.29,58
2018-10-01 21:15,62.41,42.32,62
2018-10-01 21:20,61.80,44.39,70
2018-10-01 21:25,62.97,40.42,79
2018-10-01 21:30,60.23,41.06,62
2018-10-01 21:35,60.11,44.30,56
2018-10-01 21:40,63.47,43.20,67
2018-10-01 21:45,64.32,40.26,80
2018-10-01 21:50,64.20,44.89,57
2018-10-01 21:55,64.52,41.38,79
2018-10-01 22:00,61.65,40.34,52
2018-10-01 22:05,60.61,40.45,60
2018-10-01 22:10,60.45,44.44,60
2018-10-01 22:15,64.25,42.40,74
2018-10-01 22:20,60.07,41.80,63
2018-10-01 22:25,64.58,40.31,70
2018-10-01 22:30,62.16,40.34,80
2018-10-01 22:35,64.54,42.81,78
2018-10-01 22:40,60.08,40.26,76
2018-10-01 22:45,60.48,40.80,61
2018-10-01 22:50,62.14,41.60,70
2018-10-01 22:55,64.54,40.66,52
2018-10-01 23:00,64.00,41.47,72
2018-10-01 23:05,61.16,43.82,65
2018-10-01 23:10,64.62,43.29,79
2018-10-01 23:15,62.23,43.89,66
2018-10-01 23:20,61.22,43.47,73
2018-10-01 23:25,62.56,41.44,75
2018-10-01 23:30,63.27,43.73,53
2018-10-01 23:35,62.49,43.34,74
2018-10-01 23:40,61.15,43.96,67
2018-10-01 23:45,60.22,42.39,56
2018-10-01 23:50,63.28,40.06,72
2018-10-01 23:55,62.81,43.35,59
2018-10-02 00:00,60.35,43.40,77
2018-10-02 00:05,64.42,41.52,59
2018-10-02 00:10,60.84,40.22,65
2018-10-02 00:15,63.70,44.16,72
2018-10-02 00:20,64.99,44.19,54
2018-10-02 00:25,60.37,44.70,68
2018-10-02 00:30,61.79,44.87,65
2018-10-02 00:35,64.13,42.60,61
2018-10-02 00:40,62.98,43.50,75
2018-10-02 00:45,64.26,43.12,76
2018-10-02 00:50,63.58,40.46,67
2018-10-02 00:55,63.30,42.61,78
2018-10-02 01:00,61.62,42.50,78
2018-10-02 01:05,62.14,42.69,60
2018-10-02 01:10,64.28,41.44,73
2018-10-02 01:15,63.38,43.71,51
2018-10-02 01:20,60.82,43.13,54
2018-10-02 01:25,60.17,41.57,66
2018-10-02 01:30,62.00,42.74,53
2018-10-02 01:35,63.10,43.28,58
2018-10-02 01:40,63.66,43.29,66
2018-10-02 01:45,63.55,43.33,69
2018-10-02 01:50,64.55,42.13,60
2018-10-02 01:55,62.21,43.90,66
2018-10-02 02:00,64.79,44.09,72
2018-10-02 02:05,60.40,43.88,53
2018-10-02 02:10,62.99,44.55,55
2018-10-02 02:15,62.83,40.61,76
2018-10-02 02:20,60.20,40.93,72
2018-10-02 02:25,63.82,43.59,71
2018-10-02 02:30,64.92,44.13,58
2018-10-02 02:35,60.46,40.04,72
2018-10-02 02:40,62.32,44.18,59
2018-10-02 02:45,63.93,44.67,71
2018-10-02 02:50,61.65,40.59,51
2018-10-02 02:55,61.60,42.59,66
2018-10-02 03:00,61.39,42.41,79
2018-10-02 03:05,62.96,44.37,77
2018-10-02 03:10,64.55,42.67,73
2018-10-02 03:15,62.64,43.27,76
2018-10-02 03:20,62.27,44.25,61
2018-10-02 03:25,62.92,42.20,54
2018-10-02 03:30,63.59,40.00,65
2018-10-02 03:35,60.63,43.75,62
2018-10-02 03:40,60.79,43.55,58
2018-10-02 03:45,63.97,41.20,70
2018-10-02 03:50,62.63,40.07,73
2018-10-02 03:55,64.65,43.92,59
2018-10-02 04:00,61.25,41.57,66
2018-10-02 04:05,62.73,42.79,50
2018-10-02 04:10,64.66,44.82,78
2018-10-02 04:15,61.92,44.63,80
2018-10-02 04:20,64.47,43.06,72
2018-10-02 04:25,60.91,44.33,77
2018-10-02 04:30,60.08,43.28,57
2018-10-02 04:35,62.34,40.01,75
2018-10-02 04:40,64.02,44.78,53
2018-10-02 04:45,64.82,40.44,52
2018-10-02 04:50,61.03,41.43,67
2018-10-02 04:55,62.72,41.27,66
2018-10-02 05:00,62.92,43.34,58
2018-10-02 05:05,64.03,44.21,64
2018-10-02 05:10,64.77,41.90,77
2018-10-02 05:15,64.31,43.60,66
2018-10-02 05:20,62.07,42.94,79
2018-10-02 05:25,64.36,41.32,74
2018-10-02 05:30,60.63,44.47,67
2018-10-02 05:35,61.02,43.80,55
2018-10-02 05:40,63.15,42.50,74
2018-10-02 05:45,62.01,41.42,73
2018-10-02 05:50,60.86,44.78,71
2018-10-02 05:55,60.24,40.95,65
2018-10-02 06:00,64.41,43.48,77
2018-10-02 06:05,64.22,43.17,66
2018-10-02 06:10,61.52,42.21,58
2018-10-02 06:15,63.30,40.91,75
2018-10-02 06:20,64.91,42.65,74
2018-10-02 06:25,61.09,43.17,71
2018-10-02 06:30,61.68,41.07,52
2018-10-02 06:35,60.39,43.59,63
2018-10-02 06:40,64.37,42.82,76
2018-10-02 06:45,60.38,43.24,60
2018-10-02 06:50,62.12,43.03,54
2018-10-02 06:55,62.20,42.27,64
2018-10-02 07:00,62.12,44.20,64
2018-10-02 07:05,62.31,44.11,79
2018-10-02 07:10,63.34,43.30,70
2018-10-02 07:15,64.41,42.14,72
2018-10-02 07:20,63.12,44.12,74
2018-10-02 07:25,60.90,42.17,56
2018-10-02 07:30,63.17,42.60,75
2018-10-02 07:35,61.49,41.15,66
2018-10-02 07:40,64.68,41.07,54
2018-10-02 07:45,61.87,42.30,68
2018-10-02 07:50,64.13,42.88,55
2018-10-02 07:55,64.56,44.30,54
2018-10-02 08:00,63.30,40.36,78
2018-10-02 08:05,62.72,41.64,64
2018-10-02 08:10,61.58,44.64,76
2018-10-02 08:15,63.22,42.83,78
2018-10-02 08:20,61.10,43.19,79
2018-10-02 08:25,63.25,43.07,68
2018-10-02 08:30,63.21,43.72,75
2018-10-02 08:35,61.84,41.09,76
2018-10-02 08:40,64.85,40.94,58
2018-10-02 08:45,63.07,44.82,72
2018-10-02 08:50,60.69,41.18,76
2018-10-02 08:55,60.28,41.96,71
2018-10-02 09:00,63.25,42.91,53
2018-10-02 09:05,62.57,41.34,57
2018-10-02 09:10,64.02,40.49,67
2018-10-02 09:15,64.11,40.92,73
2018-10-02 09:20,64.77,44.24,77
2018-10-02 09:25,62.07,44.54,51
2018-10-02 09:30,64.34,40.49,64
2018-10-02 09:35,62.74,43.16,66
2018-10-02 09:40,60.17,44.54,72
2018-10-02 09:45,60.76,41.95,66
2018-10-02 09:50,62.25,43.24,65
2018-10-02 09:55,61.18,42.37,65
2018-10-02 10:00,60.95,43.38,52
2018-10-02 10:05,64.95,44.76,67
2018-10-02 10:10,63.05,40.85,69
2018-10-02 10:15,63.87,43.18,75
2018-10-02 10:20,63.90,44.55,60
2018-10-02 10:25,61.50,42.13,80
2018-10-02 10:30,60.46,40.92,78
2018-10-02 10:35,61.22,42.06,62
2018-10-02 10:40,62.46,43.96,73
2018-10-02 10:45,61.31,42.40,62
2018-10-02 10:50,60.35,42.16,64
2018-10-02 10:55,62.37,41.78,69
2018-10-02 11:00,60.52,43.75,78
2018-10-02 11:05,60.49,42.91,76
2018-10-02 11:10,63.96,40.83,50
2018-10-02 11:15,64.38,41.10,52
2018-10-02 11:20,62.23,44.48,59
2018-10-02 11:25,64.16,43.95,59
2018-10-02 11:30,64.83,44.95,74
2018-10-02 11:35,63.42,43.40,80
2018-10-02 11:40,61.46,40.04,68
2018-10-02 11:45,64.79,43.92,74
2018-10-02 11:50,64.64,41.39,68
2018-10-02 11:55,62.22,43.22,70
2018-10-02 12:00,63.94,43.77,70
2018-10-02 12:05,60.04,41.22,56
2018-10-02 12:10,63.54,40.64,54
2018-10-02 12:15,62.69,44.71,60
2018-10-02 12:20,62.24,44.47,68
2018-10-02 12:25,60.12,43.52,71
2018-10-02 12:30,60.21,40.60,77
2018-10-02 12:35,62.04,41.29,71
2018-10-02 12:40,63.03,44.64,50
2018-10-02 12:45,63.61,41.53,67
2018-10-02 12:50,64.29,40.87,78
2018-10-02 12:55,63.53,43.16,52
2018-10-02 13:00,62.47,40.52,50
2018-10-02 13:05,61.36,41.85,65
2018-10-02 13:10,60.07,40.29,71
2018-10-02 13:15,63.06,40.07,52
2018-10-02 13:20,61.48,41.28,67
2018-10-02 13:25,64.93,42.27,66
2018-10-02 13:30,62.80,42.25,68
2018-10-02 13:35,62.15,41.47,54
2018-10-02 13:40,64.25,41.97,67
2018-10-02 13:45,62.70,41.81,74
2018-10-02 13:50,60.74,41.41,55
2018-10-02 13:55,60.46,40.37,80
2018-10-02 14:00,62.94,42.67,76
2018-10-02 14:05,60.08,42.19,53
2018-10-02 14:10,61.12,44.50,80
2018-10-02 14:15,64.68,40.12,60
2018-10-02 14:20,62.52,41.75,75
2018-10-02 14:25,63.21,40.90,60
2018-10-02 14:30,62.05,40.64,72
2018-10-02 14:35,63.14,43.66,60
2018-10-02 14:40,62.58,43.37,59
2018-10-02 14:45,63.44,40.65,63
2018-10-02 14:50,62.29,42.99,58
2018-10-02 14:55,62.69,44.32,58
2018-10-02 15:00,62.02,42.08,73
2018-10-02 15:05,64.33,42.72,52
2018-10-02 15:10,64.47,42.01,67
2018-10-02 15:15,63.60,44.47,55
2018-10-02 15:20,64.01,43.27,65
2018-10-02 15:25,61.90,40.34,61
2018-10-02 15:30,61.57,43.84,70
2018-10-02 15:35,63.47,42.61,50
2018-10-02 15:40,62.19,41.67,66
2018-10-02 15:45,62.23,43.17,75
2018-10-02 15:50,63.04,44.00,77
2018-10-02 15:55,64.37,40.21,77
2018-10-02 16:00,62.40,41.58,68
2018-10-02 16:05,60.14,42.30,58
2018-10-02 16:10,62.14,43.10,52
2018-10-02 16:15,62.66,40.37,75
2018-10-02 16:20,64.97,43.74,76
2018-10-02 16:25,62.14,44.82,62
2018-10-02 16:30,61.51,40.39,58
2018-10-02 16:35,61.34,42.58,63
2018-10-02 16:40,63.54,40.00,76
2018-10-02 16:45,63.00,40.60,77
2018-10-02 16:50,64.94,41.83,73
2018-10-02 16:55,63.22,42.65,63
2018-10-02 17:00,63.77,40.22,60
2018-10-02 17:05,64.87,44.36,80
2018-10-02 17:10,61.19,44.42,59
2018-10-02 17:15,63.14,44.30,71
2018-10-02 17:20,62.59,44.47,61
2018-10-02 17:25,61.56,41.46,68
2018-10-02 17:30,63.34,44.50,50
2018-10-02 17:35,62.77,43.40,51
2018-10-02 17:40,64.35,42.23,70
2018-10-02 17:45,63.77,41.40,65
2018-10-02 17:50,63.57,43.23,54
2018-10-02 17:55,62.50,42.72,56
2018-10-02 18:00,63.18,44.79,55
2018-10-02 18:05,61.19,43.74,76
2018-10-02 18:10,64.31,44.32,77
2018-10-02 18:15,63.92,40.13,72
2018-10-02 18:20,62.95,40.20,66
2018-10-02 18:25,61.43,40.09,74
2018-10-02 18:30,62.00,41.02,67
2018-10-02 18:35,63.49,43.68,50
2018-10-02 18:40,62.42,43.14,59
2018-10-02 18:45,60.77,41.42,54
2018-10-02 18:50,62.22,40.96,63
2018-10-02 18:55,63.15,41.34,70
2018-10-02 19:00,60.30,43.54,62
2018-10-02 19:05,64.26,41.52,65
2018-10-02 19:10,61.94,44.95,64
2018-10-02 19:15,61.75,44.34,80
2018-10-02 19:20,60.13,40.24,78
2018-10-02 19:25,63.99,41.35,59
2018-10-02 19:30,61.39,41.80,65
2018-10-02 19:35,60.61,44.05,77
2018-10-02 19:40,60.77,40.40,71
2018-10-02 19:45,64.32,44.72,59
2018-10-02 19:50,61.63,41.17,70
2018-10-02 19:55,61.46,40.29,56
2018-10-02 20:00,63.00,41.02,70
2018-10-02 20:05,61.46,41.36,53
2018-10-02 20:10,62.05,40.26,58
2018-10-02 20:15,61.09,44.14,64
2018-10-02 20:20,61.63,42.85,62
2018-10-02 20:25,64.42,40.35,77
2018-10-02 20:30,62.38,44.11,80
2018-10-02 20:35,62.07,44.89,70
2018-10-02 20:40,64.31,40.76,73
2018-10-02 20:45,62.92,41.43,57
2018-10-02 20:50,64.51,44.87,79
2018-10-02 20:55,60.81,44.82,75
2018-10-02 21:00,60.85,43.29,70
2018-10-02 21:05,64.23,43.87,58
2018-10-02 21:10,62.14,44.09,70
2018-10-02 21:15,61.53,43.43,72
2018-10-02 21:20,63.43,44.14,77
2018-10-02 21:25,61.84,41.00,68
2018-10-02 21:30,63.30,44.23,79
2018-10-02 21:35,61.89,42.06,67
2018-10-02 21:40,64.92,44.15,64
2018-10-02 21:45,60.80,41.88,73
2018-10-02 21:50,60.49,43.32,53
2018-10-02 21:55,64.94,42.66,67
2018-10-02 22:00,64.93,44.84,52
2018-10-02 22:05,64.01,40.94,75
2018-10-02 22:10,63.69,43.31,50
2018-10-02 22:15,61.22,40.22,63
2018-10-02 22:20,63.17,42.29,60
2018-10-02 22:25,61.12,41.91,68
2018-10-02 22:30,60.23,41.09,51
2018-10-02 22:35,62.63,40.12,69
2018-10-02 22:40,63.57,44.83,59
2018-10-02 22:45,64.18,44.15,72
2018-10-02 22:50,64.85,44.67,66
2018-10-02 22:55,64.58,43.98,66
2018-10-02 23:00,63.99,44.12,66
2018-10-02 23:05,63.49,44.92,79
2018-10-02 23:10,63.72,44.59,63
2018-10-02 23:15,64.67,40.27,75
2018-10-02 23:20,63.94,40.06,71
2018-10-02 23:25,63.40,40.83,54
2018-10-02 23:30,63.68,41.76,67
2018-10-02 23:35,60.54,41.98,62
2018-10-02 23:40,61.19,40.33,67
2018-10-02 23:45,64.10,44.09,62
2018-10-02 23:50,62.52,42.35,80
2018-10-02 23:55,60.07,42.35,80
2018-10-03 00:00,64.57,43.76,55
2018-10-03 00:05,62.51,41.51,62
2018-10-03 00:10,60.17,44.85,79
2018-10-03 00:15,60.93,43.00,62
2018-10-03 00:20,64.72,40.04,75
2018-10-03 00:25,60.06,40.97,53
2018-10-03 00:30,61.73,41.96,76
2018-10-03 00:35,63.14,42.45,61
2018-10-03 00:40,64.96,41.52,50
2018-10-03 00:45,62.72,41.07,57
2018-10-03 00:50,63.65,41.48,79
2018-10-03 00:55,61.60,41.17,62
2018-10-03 01:00,62.34,44.62,60
2018-10-03 01:05,62.24,42.68,67
2018-10-03 01:10,63.42,41.98,64
2018-10-03 01:15,61.73,42.18,75
2018-10-03 01:20,60.03,44.93,50
2018-10-03 01:25,61.30,44.23,55
2018-10-03 01:30,63.94,40.60,69
2018-10-03 01:35,61.23,44.13,71
2018-10-03 01:40,62.90,40.92,56
2018-10-03 01:45,63.87,41.17,58
2018-10-03 01:50,63.14,43.94,51
2018-10-03 01:55,61.42,41.81,52
2018-10-03 02:00,61.43,43.37,58
2018-10-03 02:05,61.07,42.89,64
2018-10-03 02:10,60.97,44.35,80
2018-10-03 02:15,65.00,44.61,80
2018-10-03 02:20,62.39,41.83,62
2018-10-03 02:25,60.54,44.48,75
2018-10-03 02:30,60.19,41.09,71
2018-10-03 02:35,63.16,40.02,68
2018-10-03 02:40,60.73,43.56,76
2018-10-03 02:45,61.31,44.38,70
2018-10-03 02:50,60.26,40.17,57
2018-10-03 02:55,64.10,42.58,75
2018-10-03 03:00,61.05,40.78,58
2018-10-03 03:05,62.33,42.99,67
2018-10-03 03:10,60.10,42.48,67
2018-10-03 03:15,61.83,42.92,73
2018-10-03 03:20,61.77,42.39,69
2018-10-03 03:25,62.53,42.12,50
2018-10-03 03:30,64.19,44.80,59
2018-10-03 03:35,63.19,42.76,56
2018-10-03 03:40,61.09,43.69,65
2018-10-03 03:45,64.90,43.71,58
2018-10-03 03:50,63.69,44.78,50
2018-10-03 03:55,62.34,44.91,79
2018-10-03 04:00,64.98,42.32,78
2018-10-03 04:05,63.26,40.79,50
2018-10-03 04:10,62.38,43.28,72
2018-10-03 04:15,63.42,40.22,80
2018-10-03 04:20,60.48,43.98,72
2018-10-03 04:25,64.20,44.87,79
2018-10-03 04:30,61.07,40.77,64
2018-10-03 04:35,61.51,41.21,70
2018-10-03 04:40,62.88,44.89,75
2018-10-03 04:45,62.74,43.94,57
2018-10-03 04:50,61.10,41.49,59
2018-10-03 04:55,62.82,41.87,51
2018-10-03 05:00,63.31,42.44,63
2018-10-03 05:05,62.85,40.29,74
2018-10-03 05:10,63.84,44.65,58
2018-10-03 05:15,63.32,44.04,73
2018-10-03 05:20,62.54,41.16,62
2018-10-03 05:25,63.83,44.80,60
2018-10-03 05:30,63.02,43.33,74
2018-10-03 05:35,61.31,40.42,64
2018-10-03 05:40,63.86,40.91,66
2018-10-03 05:45,64.15,42.06,75
2018-10-03 05:50,63.12,40.97,74
2018-10-03 05:55,62.40,42.14,66
2018-10-03 06:00,61.44,40.87,51
2018-10-03 06:05,64.76,43.15,53
2018-10-03 06:10,63.39,42.63,58
2018-10-03 06:15,64.23,44.32,58
2018-10-03 06:20,62.36,43.94,72
2018-10-03 06:25,62.76,40.44,66
2018-10-03 06:30,64.84,44.30,61
2018-10-03 06:35,64.09,43.86,76
2018-10-03 06:40,64.85,44.95,64
2018-10-03 06:45,62.60,40.83,59
2018-10-03 06:50,62.16,43.47,56
2018-10-03 06:55,60.09,42.07,64
2018-10-03 07:00,62.76,40.85,70
2018-10-03 07:05,63.50,44.19,58
2018-10-03 07:10,60.28,44.86,71
2018-10-03 07:15,61.21,43.90,72
2018-10-03 07:20,63.70,43.63,69
